station,date,heure,jour_semaine,est_weekend,meteo,affluence
BASILIQUE DE SAINT-DENIS,2023-01-01,0,6,1,1,0
BASILIQUE DE SAINT-DENIS,2023-01-01,1,6,1,1,0
BASILIQUE DE SAINT-DENIS,2023-01-01,2,6,1,1,0
BASILIQUE DE SAINT-DENIS,2023-01-01,3,6,1,1,0
BASILIQUE DE SAINT-DENIS,2023-01-01,4,6,1,1,0
BASILIQUE DE SAINT-DENIS,2023-01-01,5,6,1,1,0
BASILIQUE DE SAINT-DENIS,2023-01-01,6,6,1,1,0
BASILIQUE DE SAINT-DENIS,2023-01-01,7,6,1,1,1
BASILIQUE DE SAINT-DENIS,2023-01-01,8,6,1,1,7
BASILIQUE DE SAINT-DENIS,2023-01-01,9,6,1,1,22
BASILIQUE DE SAINT-DENIS,2023-01-01,10,6,1,1,75
BASILIQUE DE SAINT-DENIS,2023-01-01,11,6,1,1,173
BASILIQUE DE SAINT-DENIS,2023-01-01,12,6,1,1,337
BASILIQUE DE SAINT-DENIS,2023-01-01,13,6,1,1,584
BASILIQUE DE SAINT-DENIS,2023-01-01,14,6,1,1,823
BASILIQUE DE SAINT-DENIS,2023-01-01,15,6,1,1,1041
BASILIQUE DE SAINT-DENIS,2023-01-01,16,6,1,1,885
BASILIQUE DE SAINT-DENIS,2023-01-01,17,6,1,1,647
BASILIQUE DE SAINT-DENIS,2023-01-01,18,6,1,1,401
BASILIQUE DE SAINT-DENIS,2023-01-01,19,6,1,1,177
BASILIQUE DE SAINT-DENIS,2023-01-01,20,6,1,1,78
BASILIQUE DE SAINT-DENIS,2023-01-01,21,6,1,1,26
BASILIQUE DE SAINT-DENIS,2023-01-01,22,6,1,1,7
BASILIQUE DE SAINT-DENIS,2023-01-01,23,6,1,1,1
BASILIQUE DE SAINT-DENIS,2023-01-02,0,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-02,1,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-02,2,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-02,3,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-02,4,0,0,0,0
BASILIQUE DE SAINT-DENIS,2023-01-02,5,0,0,0,6
